Tumor_Sample_Barcode	C>A	C>G	C>T	T>C	T>A	T>G
TCGA-3C-AAAU-01A-11D-A41F-09	17.3913043478261	10.8695652173913	50	17.3913043478261	4.34782608695652	0
TCGA-3C-AALI-01A-11D-A41F-09	10.3761348897536	38.780804150454	45.5252918287938	2.07522697795071	2.59403372243839	0.648508430609598
TCGA-3C-AALJ-01A-31D-A41F-09	16.6666666666667	12.962962962963	46.2962962962963	11.1111111111111	7.40740740740741	5.55555555555556
TCGA-3C-AALK-01A-11D-A41F-09	15.3846153846154	12.3076923076923	56.9230769230769	10.7692307692308	4.61538461538462	0
TCGA-4H-AAAK-01A-12D-A41F-09	27.2727272727273	3.03030303030303	51.5151515151515	12.1212121212121	6.06060606060606	0
TCGA-5L-AAT0-01A-12D-A41F-09	6.47773279352227	26.3157894736842	61.9433198380567	2.02429149797571	2.02429149797571	1.21457489878543
TCGA-5L-AAT1-01A-12D-A41F-09	8.99526564965807	34.4555497106786	55.6023145712783	0.47343503419253	0.368227248816412	0.105207785376118
TCGA-5T-A9QA-01A-11D-A41F-09	36.6666666666667	3.33333333333333	48.3333333333333	6.66666666666667	5	0
TCGA-A1-A0SD-01A-11D-A10Y-09	7.69230769230769	10.2564102564103	53.8461538461538	15.3846153846154	10.2564102564103	2.56410256410256
TCGA-A1-A0SE-01A-11D-A099-09	17.6470588235294	0	52.9411764705882	20.5882352941176	8.82352941176471	0
TCGA-A1-A0SF-01A-11D-A142-09	9.25925925925926	5.55555555555556	79.6296296296296	3.7037037037037	0	1.85185185185185
TCGA-A1-A0SG-01A-11D-A142-09	3.84615384615385	15.3846153846154	53.8461538461538	11.5384615384615	7.69230769230769	7.69230769230769
TCGA-A1-A0SH-01A-11D-A099-09	13.6	33.6	44	4.8	2.4	1.6
TCGA-A1-A0SI-01A-11D-A142-09	9.12698412698413	42.8571428571429	44.047619047619	2.77777777777778	0.396825396825397	0.793650793650794
TCGA-A1-A0SJ-01A-11D-A099-09	16.1290322580645	12.9032258064516	58.0645161290323	6.45161290322581	3.2258064516129	3.2258064516129
TCGA-A1-A0SK-01A-12D-A099-09	19.2771084337349	19.2771084337349	37.3493975903614	9.63855421686747	8.43373493975904	6.02409638554217
TCGA-A1-A0SM-01A-11D-A099-09	15.1515151515152	6.06060606060606	42.4242424242424	18.1818181818182	12.1212121212121	6.06060606060606
TCGA-A1-A0SN-01A-11D-A142-09	10.9756097560976	25.609756097561	39.0243902439024	10.9756097560976	10.9756097560976	2.4390243902439
TCGA-A1-A0SO-01A-22D-A099-09	31.3390313390313	15.954415954416	29.0598290598291	7.12250712250712	12.2507122507123	4.27350427350427
TCGA-A1-A0SP-01A-11D-A099-09	15.2542372881356	11.864406779661	55.9322033898305	10.1694915254237	3.38983050847458	3.38983050847458
TCGA-A1-A0SQ-01A-21D-A142-09	5.88235294117647	11.7647058823529	70.5882352941177	8.82352941176471	2.94117647058824	0
TCGA-A2-A04N-01A-11D-A10Y-09	16.3265306122449	4.08163265306122	51.0204081632653	14.2857142857143	6.12244897959184	8.16326530612245
TCGA-A2-A04P-01A-31D-A128-09	18.125	25.625	23.75	14.375	10	8.125
TCGA-A2-A04Q-01A-21W-A050-09	22.7272727272727	13.6363636363636	39.3939393939394	9.09090909090909	6.06060606060606	9.09090909090909
TCGA-A2-A04R-01A-41D-A117-09	29.5918367346939	17.3469387755102	28.5714285714286	6.12244897959184	13.265306122449	5.10204081632653
